step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0,0
5.0,0,0.0,0.0,5.086162183720928,0,12,0,0.0,0.3511794290944406,0,0.0,12,12
10.0,0,0.0,0.0,12.064211121624249,0,14,0,0.0,0.8323902555851993,0,0.0,14,26
15.0,0,0.0,0.0,8.795047385975405,0,18,0,0.0,0.5759983289909726,0,0.0,16,42
20.0,7,19.0,0.7916666666666666,5.06681358755448,0,24,7,19.0,0.31812897197917045,7,19.0,20,62
25.0,14,68.0,2.4285714285714284,5.953994862425897,0,28,14,68.0,0.34204621048638106,14,68.0,20,82
30.0,11,95.0,3.392857142857143,5.160762748099437,2,28,11,95.0,0.3179285994662882,11,95.0,22,104
35.0,14,165.0,5.892857142857143,5.288338604759887,4,28,14,165.0,0.2841705098243382,14,165.0,20,124
40.0,18,220.0,5.5,3.6025271515157327,4,40,18,224.0,0.17299376844417022,18,224.0,30,154
45.0,17,299.0,7.868421052631579,6.094985988369605,8,38,17,299.0,0.39436029121864064,17,299.0,28,182
50.0,16,379.0,9.023809523809524,5.1483410275591455,8,42,16,379.0,0.24319659988398049,16,379.0,25,207
55.0,21,337.0,7.837209302325581,4.089264056524545,11,43,21,406.0,0.19644051498855905,21,406.0,29,236
60.0,20,434.0,10.85,4.259082198288479,15,40,20,434.0,0.1801233649254428,20,434.0,26,262
65.0,26,555.0,12.333333333333334,4.048171349978883,17,45,26,555.0,0.1465484810494116,26,555.0,29,291
70.0,23,641.0,14.906976744186046,3.9944421135375765,21,43,23,660.0,0.22645354836689763,23,660.0,33,324
75.0,25,756.0,16.085106382978722,3.033248443828913,25,47,25,758.0,0.13645100289999565,25,758.0,35,359
80.0,25,828.0,15.622641509433961,5.052048326381214,25,53,25,835.0,0.26530214709350963,25,835.0,35,394
85.0,35,968.0,17.925925925925927,4.2446822035291545,28,54,35,968.0,0.18691318356598816,35,968.0,36,430
90.0,31,1101.0,21.58823529411765,3.046870458961406,33,51,31,1108.0,0.12692980551351202,31,1108.0,39,469
95.0,35,1268.0,25.36,2.800425471443702,37,50,35,1268.0,0.0844725419639554,35,1268.0,35,504
100.0,39,1453.0,25.946428571428573,3.0727933295081646,38,56,39,1453.0,0.10911637286851913,39,1453.0,39,543
105.0,39,1644.0,29.89090909090909,2.633772369486669,41,55,39,1644.0,0.1163828584060233,39,1644.0,43,586
110.0,38,1326.0,22.862068965517242,1.8338441424957521,45,58,38,1664.0,0.0958257294882061,38,1664.0,51,637
115.0,34,802.0,13.147540983606557,3.32073152416448,47,61,34,1501.0,0.17491081436460976,34,1501.0,49,686
120.0,23,517.0,8.475409836065573,4.719649501122874,47,61,23,1463.0,0.2515473974930593,23,1463.0,43,729
125.0,19,303.0,5.224137931034483,3.7489382042829935,52,58,19,1550.0,0.1764023280938313,19,1550.0,40,769
130.0,25,350.0,5.932203389830509,3.528185934957801,55,59,25,1669.0,0.15358237953466816,25,1669.0,42,811
135.0,29,419.0,6.650793650793651,3.4676025151518424,57,63,29,1632.0,0.15758522348270743,29,1632.0,44,855
140.0,25,452.0,7.409836065573771,3.120426177565463,63,61,25,1442.0,0.135870381133781,25,1442.0,45,900
145.0,30,276.0,4.119402985074627,3.142162789828892,64,67,30,1317.0,0.12414800856879134,30,1317.0,47,947
150.0,23,301.0,4.630769230769231,4.2239838372685155,69,65,23,1293.0,0.20633590547731295,23,1293.0,47,994
155.0,27,397.0,6.301587301587301,4.2503447361578,73,63,27,1375.0,0.20775724133347823,27,1375.0,47,1041
160.0,34,456.0,7.015384615384615,2.451233634541909,77,65,34,1488.0,0.11786841043512097,34,1488.0,55,1096
165.0,37,605.0,9.029850746268657,2.3536740898458053,81,67,37,1601.0,0.10542715892544548,37,1601.0,55,1151
170.0,47,820.0,11.549295774647888,3.1740469309389323,81,71,47,1798.0,0.09708343041135524,47,1798.0,49,1200
175.0,53,1069.0,15.492753623188406,2.560111610733757,85,69,53,2047.0,0.06293083832969912,53,2047.0,49,1249
180.0,48,947.0,14.796875,2.2080603726177808,90,64,48,2140.0,0.06990000674709472,48,2140.0,50,1299
185.0,44,1076.0,16.059701492537314,2.8021119650927293,94,67,44,2146.0,0.1170354886004807,44,2146.0,51,1350
190.0,45,1282.0,18.852941176470587,2.9126794676179006,96,68,45,2336.0,0.1377195974489511,45,2336.0,52,1402
195.0,46,1511.0,22.893939393939394,3.110049674251539,99,66,46,2560.0,0.12838058635458105,46,2560.0,48,1450
200.0,50,1751.0,26.53030303030303,2.239603043845435,103,66,50,2800.0,0.05138745661812192,50,2800.0,51,1501
