step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0,0
5.0,0,0.0,0.0,5.562918039682942,0,12,0,0.0,0.416253518914663,0,0.0,12,12
10.0,0,0.0,0.0,11.756797545619161,0,14,0,0.0,0.8834543529720319,0,0.0,14,26
15.0,0,0.0,0.0,8.548506361699761,0,18,0,0.0,0.6154131759312429,0,0.0,16,42
20.0,4,10.0,0.4166666666666667,5.786680368050345,0,24,4,10.0,0.35244629771264807,4,10.0,16,58
25.0,12,43.0,1.5357142857142858,6.925164665652784,0,28,12,43.0,0.3941488619690015,12,43.0,16,74
30.0,6,47.0,1.6785714285714286,6.180157360904272,2,28,6,58.0,0.38033485417451424,6,58.0,18,92
35.0,8,86.0,3.3076923076923075,7.0923792775015535,6,26,8,86.0,0.39289734586229663,8,86.0,12,104
40.0,15,136.0,3.5789473684210527,5.614533828328573,6,38,15,136.0,0.24848130818190078,15,136.0,19,123
45.0,10,127.0,3.4324324324324325,6.967711433080713,9,37,10,141.0,0.4357662290628591,10,141.0,21,144
50.0,13,186.0,5.314285714285714,5.541576601670371,15,35,13,186.0,0.30071857207758934,13,186.0,24,168
55.0,25,274.0,7.0256410256410255,3.7718026217024523,16,39,25,274.0,0.16376996091297533,25,274.0,27,195
60.0,18,282.0,7.621621621621622,4.056619732924662,19,37,18,305.0,0.24921412508667762,18,305.0,27,222
65.0,23,386.0,9.65,3.8361781210492154,22,40,23,386.0,0.17506174678932432,23,386.0,28,250
70.0,21,401.0,9.547619047619047,4.101851721070169,22,42,21,456.0,0.1846403069883622,21,456.0,28,278
75.0,20,476.0,10.818181818181818,3.7448897674048838,28,44,20,496.0,0.186712602931425,20,496.0,32,310
80.0,24,587.0,11.74,4.985219875923963,28,50,24,592.0,0.2706599327183287,24,592.0,34,344
85.0,34,724.0,14.48,3.0973988562906887,32,50,34,729.0,0.17651147501091757,34,729.0,42,386
90.0,32,846.0,17.625,1.9896645899650516,36,48,32,872.0,0.13073859399974935,32,872.0,46,432
95.0,34,996.0,19.153846153846153,3.0691932677416314,36,52,34,1004.0,0.13560814033362326,34,1004.0,40,472
100.0,34,769.0,13.258620689655173,3.43399535797983,36,58,34,1024.0,0.13210125195770336,34,1024.0,39,511
105.0,26,432.0,7.578947368421052,4.002918009494958,39,57,26,852.0,0.13425511792470346,26,852.0,34,545
110.0,21,207.0,3.45,3.695208530443586,44,60,21,840.0,0.14473401771021993,21,840.0,42,587
115.0,21,209.0,3.4262295081967213,4.004903222883471,49,61,21,885.0,0.18383654381228945,21,885.0,44,631
120.0,28,327.0,5.5423728813559325,3.8825841708655306,51,59,28,1003.0,0.20102373058035977,28,1003.0,45,676
125.0,32,349.0,5.721311475409836,1.967682785343769,55,61,32,1087.0,0.10000714750997784,32,1087.0,53,729
130.0,41,535.0,8.629032258064516,2.2080009660882247,58,62,41,1212.0,0.08285896672088346,41,1212.0,50,779
135.0,49,764.0,11.575757575757576,2.5321868834301493,58,66,49,1441.0,0.08343267419999766,49,1441.0,50,829
140.0,48,790.0,12.153846153846153,1.565078300082793,63,65,48,1606.0,0.0687236035242861,48,1606.0,57,886
145.0,52,827.0,11.814285714285715,1.936523234287636,66,70,52,1667.0,0.05681056510733687,52,1667.0,58,944
150.0,40,955.0,13.26388888888889,2.957633639867599,66,72,40,1824.0,0.1306195814108242,40,1824.0,56,1000
155.0,46,1173.0,16.757142857142856,2.8094586663104173,70,70,46,2031.0,0.12715743522836545,46,2031.0,56,1056
160.0,46,1128.0,16.347826086956523,2.1346276283399,73,69,46,2068.0,0.09855317108147096,46,2068.0,58,1114
165.0,47,916.0,13.27536231884058,2.086399195233085,77,69,47,1934.0,0.08216433857417418,47,1934.0,57,1171
170.0,35,644.0,9.070422535211268,3.014812171215846,77,71,35,1876.0,0.1243829545742656,35,1876.0,53,1224
175.0,25,281.0,4.132352941176471,3.431609488578226,82,68,25,1868.0,0.1549805847294494,25,1868.0,50,1274
180.0,22,188.0,2.8923076923076922,4.1342883056542155,85,65,22,1827.0,0.15189977023339232,22,1827.0,43,1317
185.0,30,311.0,4.260273972602739,4.258882019833179,89,73,30,1894.0,0.1893799605079265,30,1894.0,49,1366
190.0,31,358.0,4.972222222222222,4.001731304048361,94,72,31,1962.0,0.21242119029585738,31,1962.0,52,1418
195.0,44,549.0,7.732394366197183,2.737247338365275,99,71,44,2106.0,0.0907412151978536,44,2106.0,53,1471
200.0,50,754.0,10.619718309859154,1.7178430835687803,103,71,50,2313.0,0.045557083112043525,50,2313.0,57,1528
