step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0,0
5.0,0,0.0,0.0,6.633620838541536,0,12,0,0.0,0.4830604419113517,0,0.0,0,0
10.0,0,0.0,0.0,11.555306749415424,0,14,0,0.0,0.8102090824766143,0,0.0,0,0
15.0,0,0.0,0.0,8.807637749702769,0,18,0,0.0,0.5644995753510971,0,0.0,0,0
20.0,6,21.0,0.875,6.029627990807399,0,24,6,21.0,0.30519194498869906,6,21.0,-6,-6
25.0,10,41.0,1.5185185185185186,6.752534411821263,1,27,10,47.0,0.3998730072012247,10,47.0,-10,-16
30.0,9,76.0,2.923076923076923,6.013390474675907,4,26,9,76.0,0.34551929805244924,9,76.0,-9,-25
35.0,12,132.0,4.714285714285714,5.117460610808616,4,28,12,132.0,0.27726091253754287,12,132.0,-12,-37
40.0,19,156.0,4.333333333333333,3.2120383149461396,8,36,19,162.0,0.21931284073174465,19,162.0,-19,-56
45.0,19,238.0,6.2631578947368425,5.305968866309321,8,38,19,238.0,0.3188328362607137,19,238.0,-19,-75
50.0,20,338.0,8.24390243902439,4.282398432489753,8,41,20,338.0,0.2247770092845664,20,338.0,-20,-95
55.0,26,336.0,7.813953488372093,2.3543833562745022,11,43,26,408.0,0.11828462772192691,26,408.0,-26,-121
60.0,21,409.0,9.295454545454545,4.375515282322894,12,44,21,446.0,0.21543795274924663,21,446.0,-21,-142
65.0,23,520.0,10.612244897959183,5.471408408014025,13,49,23,520.0,0.22904928128004326,23,520.0,-23,-165
70.0,23,582.0,12.652173913043478,4.004596017043323,18,46,23,607.0,0.1771601451677877,23,607.0,-23,-188
75.0,29,720.0,14.117647058823529,3.078254777343119,21,51,29,720.0,0.10545325467309613,29,720.0,-29,-217
80.0,32,833.0,15.716981132075471,3.5499540798582734,25,53,32,841.0,0.19423659404527727,32,841.0,-32,-249
85.0,38,999.0,18.849056603773583,2.884249389975402,29,53,38,999.0,0.1677151385852728,38,999.0,-38,-287
90.0,36,780.0,14.181818181818182,2.2238930328696425,29,55,36,1034.0,0.10836402778373147,36,1034.0,-36,-323
95.0,33,517.0,9.070175438596491,3.335362619220864,31,57,33,949.0,0.15308630660939518,33,949.0,-33,-356
100.0,29,404.0,6.516129032258065,4.1087726103942295,32,62,29,790.0,0.1529038864904122,29,790.0,-29,-385
105.0,19,240.0,4.0,4.062784640436065,36,60,19,840.0,0.21597688445029956,19,840.0,-19,-404
110.0,17,151.0,2.435483870967742,3.7431447967379765,40,62,17,807.0,0.16828620989349294,17,807.0,-17,-421
115.0,22,180.0,2.727272727272727,4.174964745867783,44,66,22,802.0,0.22207188794142826,22,802.0,-22,-443
120.0,32,313.0,5.131147540983607,3.5188353411838422,49,61,32,921.0,0.18387156696608134,32,921.0,-32,-475
125.0,43,500.0,7.8125,1.904879043144243,52,64,43,1108.0,0.07237682934944095,43,1108.0,-43,-518
130.0,55,760.0,11.875,1.2394419656858755,56,64,55,1368.0,0.06082501877608581,55,1368.0,-55,-573
135.0,50,839.0,12.338235294117647,1.3492141444563557,56,68,50,1547.0,0.06184177465500683,50,1547.0,-50,-623
140.0,54,1082.0,15.457142857142857,1.9766414228305076,58,70,54,1708.0,0.08645122484530125,54,1708.0,-54,-677
145.0,68,1365.0,17.5,1.2177289778693872,58,78,68,1991.0,0.0022556112418889987,68,1991.0,-68,-745
150.0,64,1683.0,21.576923076923077,1.468825883781496,62,78,64,2309.0,0.0677864596070374,64,2309.0,-64,-809
155.0,66,2007.0,26.407894736842106,1.4468624373702166,64,76,66,2633.0,0.08413738798936424,66,2633.0,-66,-875
160.0,70,2347.0,30.08974358974359,0.7315825119834402,66,78,70,2973.0,0.032064045882749415,70,2973.0,-70,-945
165.0,74,2701.0,33.7625,0.5357391789563218,66,80,74,3327.0,0.016272424573381888,74,3327.0,-74,-1019
170.0,70,2751.0,33.548780487804876,0.8945190745227932,66,82,70,3541.0,0.035972435322712784,70,3541.0,-70,-1089
175.0,62,2583.0,31.5,1.624173425515983,68,82,62,3597.0,0.06172389706398249,62,3597.0,-62,-1151
180.0,56,2574.0,31.390243902439025,2.129319247769297,68,82,56,3767.0,0.05261710039097581,56,3767.0,-56,-1207
185.0,56,2656.0,30.88372093023256,1.8328130222649415,72,86,56,4043.0,0.08192151620603437,56,4043.0,-56,-1263
190.0,52,2858.0,34.853658536585364,1.9534052636396881,76,82,52,4191.0,0.11926933479182662,52,4191.0,-52,-1315
195.0,52,3068.0,36.523809523809526,2.0107986669193045,78,84,52,4225.0,0.09156384880499246,52,4225.0,-52,-1367
200.0,50,3032.0,34.45454545454545,1.6842571785377565,78,88,50,4351.0,0.05209345866734237,50,4351.0,-50,-1417
