step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,6.680427786863099,0,12,0,0.0,0.4942064374461314,0,0.0,0.4942064374461314,0.4942064374461314
10.0,0,0.0,0.0,11.106235123092782,0,14,0,0.0,0.8061903265504685,0,0.0,0.8061903265504685,1.3003967639965999
15.0,0,0.0,0.0,8.565608867707901,0,18,0,0.0,0.5738572913160543,0,0.0,0.5738572913160543,1.874254055312654
20.0,6,15.0,0.625,6.049260814310941,0,24,6,15.0,0.31170384960030745,6,15.0,0.31170384960030745,2.1859579049129616
25.0,10,35.0,1.3461538461538463,5.841011382118098,2,26,10,40.0,0.37078288652652097,10,40.0,0.37078288652652097,2.5567407914394824
30.0,10,73.0,2.7037037037037037,6.282377921288981,3,27,10,73.0,0.37757777949537275,10,73.0,0.37757777949537275,2.934318570934855
35.0,11,96.0,3.4285714285714284,5.674356657723989,4,28,11,96.0,0.32151932530480826,11,96.0,0.32151932530480826,3.2558378962396635
40.0,18,158.0,4.388888888888889,3.7622604802527775,8,36,18,158.0,0.1968884294242117,18,158.0,0.1968884294242117,3.452726325663875
45.0,18,242.0,6.368421052631579,5.377531668521706,8,38,18,242.0,0.33221064575518905,18,242.0,0.33221064575518905,3.7849369714190644
50.0,18,179.0,4.589743589743589,3.7213767730780978,11,39,18,272.0,0.2472220937638836,18,272.0,0.2472220937638836,4.032159065182948
55.0,22,177.0,4.0227272727272725,3.58944686060742,12,44,22,254.0,0.17908897373425964,22,254.0,0.17908897373425964,4.211248038917208
60.0,18,257.0,5.840909090909091,4.5081107019551405,12,44,18,334.0,0.22651211298246812,18,334.0,0.22651211298246812,4.437760151899676
65.0,28,377.0,8.195652173913043,2.797123248183499,16,46,28,454.0,0.1265191266887508,28,454.0,0.1265191266887508,4.564279278588427
70.0,34,539.0,11.717391304347826,2.7465917618825157,18,46,34,616.0,0.12557865537099966,34,616.0,0.12557865537099966,4.689857933959427
75.0,39,722.0,13.884615384615385,1.6237041470430804,20,52,39,799.0,0.07911026184687969,39,799.0,0.07911026184687969,4.768968195806306
80.0,39,818.0,14.607142857142858,2.707081403892199,22,56,39,943.0,0.1859456628790418,39,943.0,0.1859456628790418,4.954913858685348
85.0,46,1017.0,16.95,2.49215839220076,22,60,46,1094.0,0.12056731942841689,46,1094.0,0.12056731942841689,5.0754811781137645
90.0,42,901.0,14.53225806451613,2.5596116035423093,22,62,42,1187.0,0.10006479044414261,42,1187.0,0.10006479044414261,5.175545968557907
95.0,39,715.0,11.53225806451613,2.571557616079729,26,62,39,1170.0,0.0950919665036837,39,1170.0,0.0950919665036837,5.270637935061591
100.0,33,517.0,7.833333333333333,2.8847364558600757,28,66,33,1188.0,0.13318391053088813,33,1188.0,0.13318391053088813,5.4038218455924785
105.0,25,269.0,4.075757575757576,3.1593954548708094,30,66,25,1129.0,0.12568982215816865,25,1129.0,0.12568982215816865,5.529511667750647
110.0,24,191.0,2.7285714285714286,2.5479235660404287,34,70,24,1177.0,0.09386758038437511,24,1177.0,0.09386758038437511,5.623379248135022
115.0,35,298.0,4.082191780821918,3.18243882599029,37,73,35,1320.0,0.14032751489696235,35,1320.0,0.14032751489696235,5.763706763031984
120.0,38,378.0,5.478260869565218,2.7678574270511542,41,69,38,1383.0,0.13441570061103342,38,1383.0,0.13441570061103342,5.898122463643018
125.0,40,421.0,5.929577464788732,2.0994385826921333,45,71,40,1357.0,0.08647558702368024,40,1357.0,0.08647558702368024,5.9845980506666985
130.0,43,530.0,7.066666666666666,3.060907993230669,45,75,43,1316.0,0.09269054865559823,43,1316.0,0.09269054865559823,6.077288599322297
135.0,41,665.0,8.866666666666667,3.8943046208037995,49,75,41,1359.0,0.13699363718418475,41,1359.0,0.13699363718418475,6.214282236506482
140.0,41,862.0,11.64864864864865,4.062943667279495,54,74,41,1492.0,0.15489586230068755,41,1492.0,0.15489586230068755,6.369178098807169
145.0,53,1079.0,14.58108108108108,3.3316144598249515,62,74,53,1632.0,0.11098221721902012,53,1632.0,0.11098221721902012,6.48016031602619
150.0,48,1313.0,17.743243243243242,3.891888680502373,66,74,48,1836.0,0.1476322946163723,48,1836.0,0.1476322946163723,6.627792610642562
155.0,43,1275.0,18.214285714285715,3.5895123507867033,71,70,43,1944.0,0.16654227194425877,43,1944.0,0.16654227194425877,6.794334882586821
160.0,47,1472.0,21.333333333333332,2.5431718992609884,76,69,47,2023.0,0.08258292778024928,47,2023.0,0.08258292778024928,6.87691781036707
165.0,47,1588.0,23.352941176470587,2.422491392569036,79,68,47,2190.0,0.07480156199642224,47,2190.0,0.07480156199642224,6.951719372363493
170.0,50,1834.0,28.215384615384615,2.2130764591889114,84,65,50,2385.0,0.06314531851049099,50,2385.0,0.06314531851049099,7.014864690873984
175.0,52,2092.0,32.184615384615384,2.2072296188382063,86,65,52,2643.0,0.07599363138757875,52,2643.0,0.07599363138757875,7.090858322261563
180.0,51,2294.0,37.60655737704918,1.1292335647877287,90,61,51,2846.0,0.04336222985282414,51,2846.0,0.04336222985282414,7.134220552114387
185.0,55,2561.0,37.11594202898551,1.5683420844971898,92,69,55,3084.0,0.06878913345631883,55,3084.0,0.06878913345631883,7.203009685570706
190.0,55,2836.0,41.10144927536232,2.4385590715783696,92,69,55,3359.0,0.12959285057896894,55,3359.0,0.12959285057896894,7.3326025361496745
195.0,56,3084.0,46.02985074626866,1.1392616096762884,96,67,56,3607.0,0.07841937025608077,56,3607.0,0.07841937025608077,7.411021906405756
200.0,60,3375.0,47.53521126760563,1.2582628307349126,96,71,60,3898.0,0.04278776935342924,60,3898.0,0.04278776935342924,7.453809675759185
