step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,6.012253221597832,0,12,0,0.0,0.46972837524086075,0,0.0,0.0,0.0
10.0,0,0.0,0.0,11.135542305818635,0,14,0,0.0,0.841785563003562,0,0.0,0.0,0.0
15.0,0,0.0,0.0,8.758493124850894,0,18,0,0.0,0.6513379516922901,0,0.0,0.0,0.0
20.0,4,13.0,0.5416666666666666,6.048267299138128,0,24,4,13.0,0.3615311089559288,4,13.0,-0.13,-0.13
25.0,12,48.0,1.7142857142857142,6.613846305274197,0,28,12,48.0,0.3945679699636509,12,48.0,-0.35,-0.48
30.0,8,75.0,2.6785714285714284,5.54424990637208,2,28,8,75.0,0.3374679213528288,8,75.0,-0.27,-0.75
35.0,16,137.0,5.269230769230769,4.626720640728997,6,26,16,137.0,0.2710192776912353,16,137.0,-0.6200000000000001,-1.37
40.0,17,114.0,3.0,3.7539684190534914,6,38,17,170.0,0.2145318022004472,17,170.0,-0.32999999999999985,-1.7
45.0,12,155.0,4.078947368421052,6.684530806426741,8,38,12,158.0,0.41901287757512323,12,158.0,0.11999999999999988,-1.58
50.0,14,217.0,5.166666666666667,5.3411104107589,8,42,14,220.0,0.2574127414241456,14,220.0,-0.6200000000000001,-2.2
55.0,26,315.0,7.325581395348837,3.8854049816636986,12,43,26,318.0,0.1310994269214069,26,318.0,-0.98,-3.18
60.0,20,284.0,7.1,3.8724935205137925,16,40,20,381.0,0.18565213656475157,20,381.0,-0.6299999999999999,-3.81
65.0,16,294.0,6.837209302325581,4.61422629961775,19,43,16,373.0,0.23623235475315563,16,373.0,0.08000000000000007,-3.73
70.0,18,377.0,8.568181818181818,6.30970313331929,20,44,18,383.0,0.29215692264545,18,383.0,-0.10000000000000009,-3.83
75.0,19,342.0,7.276595744680851,4.001214569960151,25,47,19,429.0,0.17954815124446918,19,429.0,-0.45999999999999996,-4.29
80.0,15,327.0,6.673469387755102,5.617005419619944,29,49,15,425.0,0.30607428813758875,15,425.0,0.040000000000000036,-4.25
85.0,24,413.0,8.26,4.35866990995488,32,50,24,511.0,0.2483577648638423,24,511.0,-0.8600000000000003,-5.11
90.0,32,541.0,11.040816326530612,2.90509364923656,35,49,32,639.0,0.09500971881193132,32,639.0,-1.2799999999999994,-6.39
95.0,30,595.0,11.9,3.2197890458938723,38,50,30,760.0,0.16269082209154773,30,760.0,-1.21,-7.6
100.0,28,659.0,12.433962264150944,3.5307349585829675,41,53,28,823.0,0.16070975718480207,28,823.0,-0.6300000000000008,-8.23
105.0,30,797.0,14.75925925925926,3.386583860241095,42,54,30,946.0,0.14643628948776113,30,946.0,-1.2300000000000004,-9.46
110.0,40,983.0,16.948275862068964,1.6599561199107724,46,58,40,1132.0,0.07544618587221222,40,1132.0,-1.8599999999999994,-11.32
115.0,48,1200.0,19.672131147540984,1.931602157659428,49,61,48,1349.0,0.1355478388316769,48,1349.0,-2.17,-13.49
120.0,43,922.0,15.114754098360656,2.1554425639680774,49,61,43,1374.0,0.13800573113036724,43,1374.0,-0.25,-13.74
125.0,44,928.0,13.850746268656716,2.3579835394107014,49,67,44,1281.0,0.09928490890337421,44,1281.0,0.9299999999999997,-12.81
130.0,45,1144.0,16.112676056338028,2.7751695666484784,49,71,45,1402.0,0.0946651675983396,45,1402.0,-1.209999999999999,-14.02
135.0,57,1401.0,20.304347826086957,1.789687539536617,54,69,57,1656.0,0.04118642533086334,57,1656.0,-2.539999999999999,-16.56
140.0,52,1631.0,22.971830985915492,1.7746348749569674,57,71,52,1846.0,0.0663183124539489,52,1846.0,-1.9000000000000021,-18.46
145.0,63,1897.0,25.293333333333333,1.1503077602335317,61,75,63,2046.0,0.020151628033768642,63,2046.0,-2.0,-20.46
150.0,55,1929.0,24.417721518987342,2.2424267983823873,61,79,55,2219.0,0.08283181169659488,55,2219.0,-1.7300000000000004,-22.19
155.0,48,1808.0,23.789473684210527,2.9857177136838713,65,76,48,2279.0,0.12502310540142247,48,2279.0,-0.5999999999999979,-22.79
160.0,42,1421.0,18.21794871794872,2.247613065537845,68,78,42,2318.0,0.08440344726454944,42,2318.0,-0.39000000000000057,-23.18
165.0,35,858.0,11.289473684210526,2.4149344999279765,72,76,35,2161.0,0.08780134564958327,35,2161.0,1.5700000000000003,-21.61
170.0,35,535.0,7.0394736842105265,2.460952078189993,74,76,35,2242.0,0.09600566197301671,35,2242.0,-0.8100000000000023,-22.42
175.0,26,287.0,3.8783783783783785,2.6925576473715807,78,74,26,2201.0,0.11126335444204637,26,2201.0,0.41000000000000014,-22.01
180.0,29,260.0,3.611111111111111,3.1153771222519255,80,72,29,2135.0,0.10756144110096134,29,2135.0,0.6600000000000001,-21.35
185.0,29,305.0,3.7195121951219514,3.0279241133061063,84,82,29,2207.0,0.13661298771096947,29,2207.0,-0.7199999999999989,-22.07
190.0,39,477.0,6.194805194805195,2.984999008566532,89,77,39,2343.0,0.1486773905657179,39,2343.0,-1.3599999999999994,-23.43
195.0,54,717.0,9.075949367088608,1.7848975696095217,92,79,54,2584.0,0.0744063231337709,54,2584.0,-2.41,-25.84
200.0,64,1021.0,13.08974358974359,1.0744492812801976,96,78,64,2888.0,0.030018683249151013,64,2888.0,-3.039999999999999,-28.88
