step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_completed_vehicles,system_n_vehicles,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,cumulative_rewards
0.0,0,0.0,,0.0,0,0,0,0.0,1.0,0,0.0,0.0,0.0
5.0,0,0.0,0.0,5.143524207188384,0,12,0,0.0,0.36514300543614403,0,0.0,0.0,0.0
10.0,0,0.0,0.0,11.85558269465463,0,14,0,0.0,0.8345682874477054,0,0.0,0.0,0.0
15.0,0,0.0,0.0,8.925312999933304,0,18,0,0.0,0.6171402202299305,0,0.0,0.0,0.0
20.0,6,18.0,0.75,5.897237620265721,0,24,6,18.0,0.31600398573332045,6,18.0,-0.18,-0.18
25.0,10,38.0,1.4074074074074074,6.246399285879813,1,27,10,44.0,0.38853646135377423,10,44.0,-0.26,-0.44
30.0,10,75.0,2.7777777777777777,5.640420730631148,3,27,10,75.0,0.3002258516285862,10,75.0,-0.31,-0.75
35.0,12,104.0,3.7142857142857144,5.917838430421611,4,28,12,104.0,0.3402918931282333,12,104.0,-0.29000000000000004,-1.04
40.0,20,168.0,4.666666666666667,3.9438875214053084,8,36,20,168.0,0.20900961916436317,20,168.0,-0.6399999999999999,-1.68
45.0,20,255.0,6.7105263157894735,5.683955458614697,8,38,20,255.0,0.3334205326338817,20,255.0,-0.8699999999999999,-2.55
50.0,21,355.0,9.342105263157896,3.5369200556669016,11,38,21,355.0,0.19018775290987147,21,355.0,-1.0,-3.55
55.0,32,477.0,10.840909090909092,2.3348655818310124,12,44,32,477.0,0.11590916279595635,32,477.0,-1.2199999999999998,-4.77
60.0,28,617.0,14.348837209302326,3.4123957932407434,13,43,28,617.0,0.15439910830600204,28,617.0,-1.4000000000000004,-6.17
65.0,27,581.0,12.104166666666666,2.8351249744817433,14,48,27,696.0,0.130751074150998,27,696.0,-0.79,-6.96
70.0,21,581.0,12.630434782608695,3.8346164077642784,18,46,21,700.0,0.2002008587427288,21,700.0,-0.040000000000000036,-7.0
75.0,25,688.0,12.74074074074074,3.4762267170500656,18,54,25,770.0,0.13363869636588419,25,770.0,-0.7000000000000002,-7.7
80.0,34,838.0,15.236363636363636,3.038657350357854,23,55,34,920.0,0.17802975817975494,34,920.0,-1.4999999999999991,-9.2
85.0,38,977.0,17.446428571428573,2.18618212214622,26,56,38,1052.0,0.14605982512825147,38,1052.0,-1.3200000000000003,-10.52
90.0,34,1102.0,19.0,2.7371322263274114,26,58,34,1136.0,0.11340319600414137,34,1136.0,-0.8399999999999999,-11.36
95.0,38,1288.0,21.114754098360656,4.012686199747459,27,61,38,1292.0,0.15926729516996402,38,1292.0,-1.5600000000000005,-12.92
100.0,40,1408.0,22.349206349206348,2.783923377828445,31,63,40,1433.0,0.11097451407091902,40,1433.0,-1.4100000000000001,-14.33
105.0,46,1628.0,26.688524590163933,2.6085998509920163,35,61,46,1632.0,0.0923087464103857,46,1632.0,-1.9900000000000002,-16.32
110.0,42,1336.0,20.242424242424242,1.9838722445849262,38,66,42,1674.0,0.058290252900227206,42,1674.0,-0.41999999999999815,-16.74
115.0,38,855.0,12.954545454545455,3.2077541149639632,42,66,38,1540.0,0.15252605126142588,38,1540.0,1.339999999999998,-15.4
120.0,32,563.0,8.796875,3.429047723287164,44,64,32,1706.0,0.177609100307839,32,1706.0,-1.6599999999999984,-17.06
125.0,33,501.0,7.828125,1.8265672967315498,48,64,33,1870.0,0.0794539620761988,33,1870.0,-1.6400000000000006,-18.7
130.0,30,429.0,6.703125,2.000002321531257,50,64,30,1974.0,0.10829753805088153,30,1974.0,-1.0399999999999991,-19.74
135.0,32,409.0,6.014705882352941,2.176096781122554,52,68,32,2016.0,0.09758743349602798,32,2016.0,-0.4200000000000017,-20.16
140.0,31,333.0,4.757142857142857,2.7012909530050706,52,70,31,2075.0,0.1138522633671211,31,2075.0,-0.5899999999999999,-20.75
145.0,49,494.0,6.675675675675675,1.8424481722743102,56,74,49,2136.0,0.04446244388794963,49,2136.0,-0.6099999999999994,-21.36
150.0,55,750.0,9.868421052631579,2.4450788761469058,58,76,55,2368.0,0.08357803708016978,55,2368.0,-2.3200000000000003,-23.68
155.0,58,1034.0,14.36111111111111,2.07931402295805,62,72,58,2652.0,0.10725355824443433,58,2652.0,-2.84,-26.52
160.0,62,1299.0,18.041666666666668,0.7927268521686947,66,72,62,2917.0,0.04736554664152944,62,2917.0,-2.650000000000002,-29.17
165.0,63,1608.0,21.72972972972973,1.1380179777275647,66,74,63,3226.0,0.03716973714125055,63,3226.0,-3.0899999999999963,-32.26
170.0,67,1938.0,25.5,1.0624007780447382,66,76,67,3556.0,0.03184080563812335,67,3556.0,-3.3000000000000043,-35.56
175.0,64,2228.0,30.10810810810811,0.8210826206224028,70,74,64,3863.0,0.05302034172845802,64,3863.0,-3.0700000000000003,-38.63
180.0,67,2556.0,34.54054054054054,0.6796804729422384,70,74,67,4174.0,0.0006479850001549322,67,4174.0,-3.1099999999999994,-41.74
185.0,64,2511.0,29.892857142857142,1.5480793114852172,70,84,64,4227.0,0.06334327674402394,64,4227.0,-0.5300000000000011,-42.27
190.0,56,2207.0,27.5875,2.3078819466549967,74,80,56,3988.0,0.10860702108831485,56,3988.0,2.3900000000000006,-39.88
195.0,50,2011.0,24.524390243902438,3.1555497327201882,74,82,50,3532.0,0.10715340700878959,50,3532.0,4.560000000000002,-35.32
200.0,52,1810.0,22.625,3.0681750989362313,78,80,52,3357.0,0.10626011332584022,52,3357.0,1.75,-33.57
